directory,time
2021_06_21_pos4, 100
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\SD1_2021_05_06_pos9, 420
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\SD1_2021_05_06_pos6, 420
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\SD1_2021_05_06_pos5, 420
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_06_21_pos4, 600 
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_06_21_pos3, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_06_21_pos2, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_05_06_pos7, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_05_06_pos6, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_05_06_pos6, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_05_06_pos3, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Labeled_cells\2021_05_06_pos2, 600
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Ecto_only\2022_11_03_pos1, 15
\\phhydra\phhydraB\Analysis\users\Yonit\Movie_Analysis\Ecto_only\2022_10_31_pos1, 20
\\phhydra\phhydraB\Analysis\users\Yael\Movie_Analysis\Sucrose_exp\2023_06_12\2023_06_12_pos6, 300
\\phhydra\phhydraB\Analysis\users\Yael\Movie_Analysis\Sucrose_exp\2023_06_12\2023_06_12_pos13, 300
\\phhydra\phhydraB\Analysis\users\Liora\Movie_Analysis\2021_07_26\2021_07_26_pos4, 120
\\phhydra\phhydraB\Analysis\users\Liora\Movie_Analysis\2021_07_26\2021_07_26_pos3, 120
\\phhydra\phhydraB\Analysis\users\Liora\Movie_Analysis\2021_07_26\2021_07_26_pos2, 120
\\phhydra\phhydraB\Analysis\users\Liora\Movie_Analysis\2021_07_26\2021_07_26_pos1, 120
\\phhydra\phhydraB\Analysis\users\Ariel\Movie_Analysis\2DG\2023_11_15_pos7, 420
\\phhydra\phhydraB\Analysis\users\Ariel\Movie_Analysis\2DG\2023_11_15_pos20, 420
\\phhydra\phhydraB\Analysis\users\Ariel\Movie_Analysis\2DG\2023_11_15_pos18, 420
